"GeneID"	"TotalReads"
"BGIOSGA000238"	190
"BGIOSGA000594"	321
"BGIOSGA001209"	13387
"BGIOSGA001233"	532
"BGIOSGA001740"	138
"BGIOSGA002095"	143
"BGIOSGA002110"	160
"BGIOSGA002167"	379
"BGIOSGA002788"	275
"BGIOSGA002804"	143
"BGIOSGA002819"	182
"BGIOSGA002943"	343
"BGIOSGA003517"	62
"BGIOSGA003659"	1690
"BGIOSGA003991"	1392
"BGIOSGA004044"	596
"BGIOSGA004144"	721
"BGIOSGA004253"	2814
"BGIOSGA004771"	782
"BGIOSGA004927"	105
"BGIOSGA005776"	130
"BGIOSGA006337"	11204
"BGIOSGA006624"	14984
"BGIOSGA007344"	268
"BGIOSGA007402"	382
"BGIOSGA007566"	59
"BGIOSGA007777"	194
"BGIOSGA007984"	1442
"BGIOSGA008716"	921
"BGIOSGA008983"	3500
"BGIOSGA009700"	5222
"BGIOSGA009826"	154
"BGIOSGA009964"	596
"BGIOSGA010128"	1195
"BGIOSGA010210"	711
"BGIOSGA010486"	1199
"BGIOSGA010939"	199
"BGIOSGA010948"	457
"BGIOSGA011190"	705
"BGIOSGA011313"	998
"BGIOSGA011359"	67
"BGIOSGA011360"	168
"BGIOSGA011641"	164
"BGIOSGA012033"	107
"BGIOSGA012062"	174
"BGIOSGA012186"	1128
"BGIOSGA012466"	4526
"BGIOSGA012711"	1062
"BGIOSGA012967"	351
"BGIOSGA013732"	353
"BGIOSGA014358"	578
"BGIOSGA014729"	1463
"BGIOSGA014918"	500
"BGIOSGA015662"	182
"BGIOSGA016053"	661
"BGIOSGA016308"	110
"BGIOSGA016723"	159
"BGIOSGA017566"	678
"BGIOSGA017861"	407
"BGIOSGA017871"	102
"BGIOSGA017964"	453
"BGIOSGA018014"	1314
"BGIOSGA018139"	149
"BGIOSGA018163"	73
"BGIOSGA018310"	594
"BGIOSGA018597"	484
"BGIOSGA018744"	371
"BGIOSGA018938"	1612
"BGIOSGA019218"	84
"BGIOSGA019232"	378
"BGIOSGA020146"	208
"BGIOSGA020240"	225
"BGIOSGA020611"	434
"BGIOSGA020921"	1679
"BGIOSGA020972"	347
"BGIOSGA021012"	372
"BGIOSGA021139"	222
"BGIOSGA021152"	450
"BGIOSGA021355"	83
"BGIOSGA021672"	297
"BGIOSGA021693"	1496
"BGIOSGA021877"	159
"BGIOSGA022466"	88
"BGIOSGA022478"	1653
"BGIOSGA022893"	92
"BGIOSGA023187"	1811
"BGIOSGA023222"	2321
"BGIOSGA023868"	470
"BGIOSGA024097"	103
"BGIOSGA024199"	721
"BGIOSGA024240"	442
"BGIOSGA024399"	1263
"BGIOSGA024886"	273
"BGIOSGA025463"	228
"BGIOSGA025592"	37282
"BGIOSGA025711"	258
"BGIOSGA026219"	2032
"BGIOSGA026536"	95
"BGIOSGA026576"	133
"BGIOSGA026730"	14600
"BGIOSGA027176"	2150
"BGIOSGA027677"	723
"BGIOSGA027737"	234
"BGIOSGA028019"	7745
"BGIOSGA028250"	147
"BGIOSGA028355"	64
"BGIOSGA028468"	2151
"BGIOSGA028570"	807
"BGIOSGA029143"	107
"BGIOSGA029153"	99
"BGIOSGA029433"	837
"BGIOSGA029599"	715
"BGIOSGA029689"	697
"BGIOSGA029706"	439
"BGIOSGA029974"	443
"BGIOSGA030045"	748
"BGIOSGA030488"	533
"BGIOSGA030562"	388
"BGIOSGA030712"	909
"BGIOSGA030733"	340
"BGIOSGA031437"	2721
"BGIOSGA032260"	2266
"BGIOSGA032261"	370
"BGIOSGA032683"	477
"BGIOSGA032908"	478
"BGIOSGA033183"	194
"BGIOSGA033416"	706
"BGIOSGA033582"	10528
"BGIOSGA033850"	1688
"BGIOSGA033947"	398
"BGIOSGA034619"	479
"BGIOSGA034756"	376
"BGIOSGA034849"	125
"BGIOSGA035031"	688
"BGIOSGA035037"	1484
"BGIOSGA035309"	442
"BGIOSGA035710"	160
"BGIOSGA035979"	13719
"BGIOSGA036271"	4417
"BGIOSGA036677"	1043
"BGIOSGA036955"	143
"BGIOSGA037181"	516
"BGIOSGA037323"	380
"BGIOSGA037578"	296
