"GeneID"	"TotalReads"
"BGIOSGA000023"	48
"BGIOSGA000182"	264
"BGIOSGA000632"	343
"BGIOSGA000728"	698
"BGIOSGA000948"	653
"BGIOSGA001449"	82
"BGIOSGA001629"	429
"BGIOSGA002109"	943
"BGIOSGA002214"	202
"BGIOSGA002563"	3879
"BGIOSGA002722"	256
"BGIOSGA002803"	446
"BGIOSGA003377"	239
"BGIOSGA003595"	2521
"BGIOSGA003843"	50
"BGIOSGA003922"	2020
"BGIOSGA003956"	74
"BGIOSGA004351"	1013
"BGIOSGA004840"	1283
"BGIOSGA004861"	1582
"BGIOSGA004893"	195
"BGIOSGA004894"	1360
"BGIOSGA004895"	305
"BGIOSGA004926"	150
"BGIOSGA005088"	244
"BGIOSGA005228"	1369
"BGIOSGA005595"	1121
"BGIOSGA005685"	378
"BGIOSGA005809"	756
"BGIOSGA005963"	458
"BGIOSGA006111"	458
"BGIOSGA006257"	185
"BGIOSGA006284"	440
"BGIOSGA006356"	1240
"BGIOSGA006896"	438
"BGIOSGA006909"	351
"BGIOSGA007256"	713
"BGIOSGA007813"	192
"BGIOSGA008359"	67
"BGIOSGA008527"	239
"BGIOSGA008605"	554
"BGIOSGA009129"	588
"BGIOSGA009298"	215
"BGIOSGA009523"	1492
"BGIOSGA009524"	16776
"BGIOSGA010264"	145
"BGIOSGA010281"	236
"BGIOSGA010528"	190
"BGIOSGA010742"	348
"BGIOSGA010892"	4732
"BGIOSGA011029"	577
"BGIOSGA011050"	768
"BGIOSGA011245"	491
"BGIOSGA011283"	236
"BGIOSGA011326"	13953
"BGIOSGA011335"	1910
"BGIOSGA011351"	335
"BGIOSGA011995"	1143
"BGIOSGA011998"	1315
"BGIOSGA012815"	782
"BGIOSGA013027"	512
"BGIOSGA013292"	144593
"BGIOSGA013826"	1131
"BGIOSGA014531"	388
"BGIOSGA014976"	1176
"BGIOSGA015634"	562
"BGIOSGA015855"	1127
"BGIOSGA016365"	255
"BGIOSGA016373"	391
"BGIOSGA016940"	63
"BGIOSGA017005"	333
"BGIOSGA017096"	39
"BGIOSGA017343"	87
"BGIOSGA017703"	1122
"BGIOSGA017863"	85
"BGIOSGA017975"	2201
"BGIOSGA018065"	832
"BGIOSGA018524"	488
"BGIOSGA018833"	931
"BGIOSGA019033"	237
"BGIOSGA019097"	375
"BGIOSGA019111"	497
"BGIOSGA019125"	124
"BGIOSGA019679"	6940
"BGIOSGA019693"	2187
"BGIOSGA019694"	564
"BGIOSGA019698"	491
"BGIOSGA019933"	3645
"BGIOSGA020051"	109
"BGIOSGA020129"	107
"BGIOSGA020228"	485
"BGIOSGA020470"	1341
"BGIOSGA020521"	133
"BGIOSGA020760"	545
"BGIOSGA021102"	221
"BGIOSGA021279"	197
"BGIOSGA021437"	120
"BGIOSGA021713"	154
"BGIOSGA021717"	159
"BGIOSGA021979"	1256
"BGIOSGA022164"	129
"BGIOSGA022213"	113
"BGIOSGA022244"	209
"BGIOSGA022800"	1603
"BGIOSGA022821"	260
"BGIOSGA022840"	423
"BGIOSGA023090"	542
"BGIOSGA023192"	2532
"BGIOSGA023264"	45837
"BGIOSGA023598"	2024
"BGIOSGA023901"	444
"BGIOSGA024733"	205
"BGIOSGA024841"	380
"BGIOSGA024937"	78
"BGIOSGA025442"	498
"BGIOSGA025849"	1474
"BGIOSGA026003"	367
"BGIOSGA026037"	542
"BGIOSGA026150"	3772
"BGIOSGA026194"	1813
"BGIOSGA026721"	1537
"BGIOSGA026773"	3570
"BGIOSGA026791"	403
"BGIOSGA027061"	124
"BGIOSGA027545"	90
"BGIOSGA027757"	1308
"BGIOSGA027914"	95
"BGIOSGA027920"	91
"BGIOSGA028038"	196
"BGIOSGA028950"	1364
"BGIOSGA029184"	2320
"BGIOSGA029547"	1420
"BGIOSGA029741"	798
"BGIOSGA030173"	423
"BGIOSGA030566"	881
"BGIOSGA030826"	3149
"BGIOSGA030912"	351
"BGIOSGA031097"	223
"BGIOSGA031382"	148
"BGIOSGA031549"	1726
"BGIOSGA031966"	1065
"BGIOSGA032018"	329
"BGIOSGA033092"	731
"BGIOSGA033530"	231
"BGIOSGA033831"	1673
"BGIOSGA034104"	279
"BGIOSGA034421"	715
"BGIOSGA034479"	425
"BGIOSGA035220"	149
"BGIOSGA035923"	11636
"BGIOSGA036276"	242
"BGIOSGA037623"	3842
