Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA000001 632 921 1062 728 968 625
BGIOSGA000002 654 813 1586 1280 806 1111
BGIOSGA000003 0 0 0 0 0 0
BGIOSGA000004 71 111 40 167 151 124
BGIOSGA000005 163 8 18 43 28 18
BGIOSGA000006 418 515 477 588 428 514
BGIOSGA000007 367 135 196 196 77 109
BGIOSGA000008 17 12 14 54 4 1
BGIOSGA000009 1078 695 1361 742 612 715
BGIOSGA000010 855 463 512 466 60 149
BGIOSGA000011 161 109 26 189 103 271
BGIOSGA000012 177 249 172 166 79 128
BGIOSGA000013 378 53 209 232 22 84
BGIOSGA000014 396 259 634 418 293 249
BGIOSGA000015 91 122 57 118 14 118
BGIOSGA000016 59 23 71 73 47 28
BGIOSGA000017 116 25 123 81 1 41
BGIOSGA000018 8 2 1 19 0 9
BGIOSGA000019 1261 3037 438 922 1587 348
BGIOSGA000020 380 264 338 257 402 169
BGIOSGA000021 76 332 182 57 104 70
BGIOSGA000022 0 0 0 2 0 1
BGIOSGA000023 0 2 0 11 24 11
BGIOSGA000024 115 119 85 162 155 179
BGIOSGA000025 13 14 14 12 6 4
BGIOSGA000026 87 21 34 24 4 18
BGIOSGA000027 292 607 348 190 401 479
BGIOSGA000028 187 35 82 77 24 34
BGIOSGA000029 83 218 98 147 198 241
BGIOSGA000030 100 109 403 307 142 303
BGIOSGA000031 0 0 0 0 0 1
BGIOSGA000032 15 9 94 33 8 44
BGIOSGA000033 113 69 177 116 77 126
BGIOSGA000034 0 0 0 0 0 0
BGIOSGA000035 769 171 395 289 64 141
BGIOSGA000036 70 12 50 52 18 74
BGIOSGA000037 0 0 0 0 0 0
BGIOSGA000038 215 0 0 143 0 4
BGIOSGA000039 14 0 0 11 0 0
BGIOSGA000040 28 1 0 13 0 0
BGIOSGA000041 213 72 62 155 108 42
BGIOSGA000042 0 1 0 0 0 0
BGIOSGA000043 78 46 70 107 45 153
BGIOSGA000044 0 17 6 2 2 56
BGIOSGA000045 258 80 224 336 63 185
BGIOSGA000046 2 0 0 8 0 2
BGIOSGA000047 719 608 454 986 607 550
BGIOSGA000048 35 88 120 116 68 187
BGIOSGA000049 58 80 6 16 94 21
BGIOSGA000050 0 9 0 2 0 0
BGIOSGA000051 241 211 110 422 259 373
BGIOSGA000052 34 48 62 124 50 75
BGIOSGA000053 3 2 0 4 0 1
BGIOSGA000054 1571 278 567 1146 19 567
BGIOSGA000055 41 31 34 29 21 19
BGIOSGA000056 0 0 0 0 1 2
BGIOSGA000057 8 0 2 0 0 1
BGIOSGA000058 246 168 145 288 103 217
BGIOSGA000059 0 0 0 0 0 0
BGIOSGA000060 1617 234 276 803 28 369
